1981renee,8
2012Rm11,6
22ruMaori,1
2TAPU,133
aarianaf,186
aashleyloren,4
abesdude,493
acemancity04,465
acushla_dee,40
AhikaaKai,25
Aiken2282,1
AkoAroha,14
Alby_Waititi,1
alihug,4
AliLeonardMC,15
Allanahk,90
Amber_4no1,6
AmiarEkera,25
AmiriaReriti,1
Amo_amokura,18
AmyRoseTipene,4
anaherapango,57
Analovesyouxoxo,1
AnaruWhite,134
andrew_murray33,5
anetcon,1
ANgaropoTuia,21
AngGrantxo,2
AnnaTurner212,2
annekenn,40
AnneSturgess2,8
Aotearoa666,520
AotearoaSummer,24
aquatiki,1
Arana_te_panana,38
arenaa,35
ArianaTikao,6
ariaporo22,224
arishnaresh,61
Aroha_Treacher,9
ASBTrust,3
ashwan5000,4
AtaCrump,3
Atamira2015,3
Awanui_Putataua,36
awarutu,4
Awhi78,10
az_i_dzign,2
B0iLuPatMiNe,4
bain_c,123
Balwearie,1
BeccaSweeney,55
Bernie_OD,25
bevms08,14
bevwaru,4
bjwiari,18
blackdoris23,29
bonny_bird,12
boydbroughton,3
BrendaCritch1,7
BrettCribb,44
BubblesReedy,646
BubsMorgan,3
CatrionaPene,14
ceejayjoe,511
chang_mrs,44
Chessa_W,10
CheyMilne,264
chieflyval,1
chisholm_donna,2
chrisfinlayson,4
ChrisMcLean15,10
chrismrk0,4
clinicIndulge,1
Clutchee,60
CmmdrZed,973
ColoradoNegrito,27
ConnectEduNZ,21
coreeducation,35
CourtDavidson_,17
CPITChCh,18
creativmischief,23
CrystalShakurr,4
ctauekistott,4
DanellaDanella,2
daniel_haines,7
DeLzp,4
DELZYMAN,1
denisemessiter,2
dianemillsnz,2
digitallearnin,7
DigitalMaori,556
dionanderson9,105
DKNZ1,2300
DoingOurBitNZ,1
doma_tenoka,33
DonnaMarianaGra,18
dreid8,43
dresden_linde,2
dukelyer,5
dwenmoth,4
EdNZ,98
e_koe,51
ElizaEdith,5
EllisonTalia,1
EmarainaM,43
empiya,17
e_newbold,4
enigma_96,1
Errie31,1
ErueraMita,10
eru_keepa,113
etipuereo,76
evelyn_hiri,1
eyesonnature,1
fashjunkette,51
fauhivaj,24
FiNZ63,155
fivefoot3,24
formerlydaniels,33
FrockSteady,3
fuck_lupus,1033
fuse711,26
GabrielTuhoro,20
gemstew83,211
glendaanz,1
GlenisPB,290
glenysmturu,8
GoodResearch,7
GrahamOliver8,68
greenMaorigreen,29
groovewitcha,25
haka_nation,47
halfcaster,21
HamioraReweti,28
Hana_mereraiha,130
HanaTheAwesome1,310
hapaitehauora,52
HauauruRawiri,2
Haweti,18
hearawhairawa,16
hectorkamacho,3
heenibrown,111
hei4nau,14
heireowhanau,71
HeiTikiCreative,29
hekiaparata,6
helamantangiora,39
Hemibeam,103
HenareRobert,4
hera1835,14
Heragurl,8
HereniMarshall,3
heymilly,8
hinemoana,156
HinerangiE,20
Hirinik2010,4
HoanaHati,15
hollyrwalker,7
HoriaMoanaB,9
HoriHeathen,11
HotaaiAtawhai,7
HotereBarnes,50
hpreo2014,168
HURIMOZ,4699
iaaronkirk,105
IMahuika,1
Implementnz,137
indiginz,11
innovate_change,1
INsite_NZ,1
IntergalacticM1,3
ItsNotOK_NZ,5
J9Tamati,3
JamesPene,19
janenicholls,9
jayeriki,54
jbowtie,66
jeanetteking,27
jeanettem1,19
JeniL,1
JimM8ther,317
joemcleod7,3
John_McAlpine01,7
Jokesandsmiles,4
jonnimaree25,1
jose_clarke,38
JosephAFarrell,20
JRuakere,4
julianwilcox,395
juneea_s,4
JustHineao,10
justinemnz,3
k1nahead,1
KaapuaSmith,25
kaceycummane,12
KahurangiM,53
KahuRuru6,24
kaiako_nz,119
KaioraTipene,32
kanetwalker,1
KapiManaNews,2
KapuaNetworks,1
karen_wells64,1
KatarainaS,1
katekiwi,1
KatheJTP,1
KaweRoes,30
KAWEsuper,29
kaynepeters,50
kdhawkins190,1
KeaTeRL,1
kellsross,1
KereruTe,12
kerrythekiwi,4
kg_gera,17
kiaora4that,180
kimberleyouano,1
kimcblair,10
Kimii4karuru,11
ki_moti,7
kingkapisi,111
Kingztar1,5
KiriAllan,11
kirituna,1
KirstenDDaniels,12
_KM_,61
kmk_reo,8
KoAwatea,3
kohinekaha,2
kokalaura,1
KokaNods,5
komenekururangi,24
Kommikal,14
koreroauaha,383
kotahi,3
kotahiDC,40
kraackah,3
krystalRoberts3,16
k_shelton,59
ktaiuru,29
KTVconsulting,1
KUMA_Aotearoa,2
KymThompson5,1
lagatabonita,2
LaingRuzza,2
landkatia,330
LanguageKboard,17
LaurenMegan93,1
leeanne_manuel,12
leigh_mclachlan,7
LeilaniTamu,5
libr4ry_girl,150
LisaGembitsky,1
lisareedysaidso,1
lisasquire1,3
littlewhetu,2120
Lolz_12,16
LuluPurda,4
Lysstuart,7
lyttonprincipal,55
maakabradley,1
MaataaWaka,367
MackeyDaddy,196
MaiFM,10
MaikiSherman,35
makaawhio,24
MakereSH,25
mamaleebidois,4
MamariStephens,57
ManaakiMoana,82
ManaEdCentre,5
ManaMaoriFest,146
ManaTaui,2
ManawaHou,5
ManiaClarke,305
manipitoitoi,47
maobbl,11620
maonewt,29810
maoold,22390
maoriahau,16
MAORILANDFILM,1
maorimassey,19
MaoriPacificJob,1494
maoripanda,97
Maori_Party,94
MaoriStream,982
maoristylz,67
maoritv,201
maovaireka,1
marae_te,3
MaramaDavidson,146
MarewaGlover,45
maria_lemalie,1
markrevington,15
MataiaKeepa,45
matairangismith,114
matenga76,21
MatuColeman,9
medadane,62
Medzknowsbest,20
mekawhaitiri,10
mekebro,6
MelanieHawea,7
memhineari73,1
mereana80,20
mereana_t,16
MeritaPaki,46
metiria,41
metzy,13
Mihi_Forbes,97
mihudz,45
MiriaFlavell,80
misstahi,17
Miss_Whanau,23
mistyormsby,6
MitaEru,13
MITEMaori,12
M_K3waves,44
mktconsultancy,48
MoanaTimoko,79
MoiiV,47
mokai77,364
moki479,24
MondoWhangarei,62
MonowaiP,7
mosborne01,26
MrMaipi,340
mrs_tbell,124
MsAnaPipi,2
MULIMULIMYMULI,758
munro_cat,21
Mwwlorg,24
MyraOK,7
MzPolynesian,2
n8tvaffairs,521
Na_Cuz,36
NaketaNZ,16
na_raihania,22
nataliemankelow,3
NaturallyTrisha,6
NaviniaTeRore1,4
necromaori,1803
neeRobson,261
nepia_niki,4
neverhasbeen,27
newzealandbirds,13
newzlyn,7
NgaAhoWhakaari,21
ngaatipakeha,11
ngahupotaka,372
NgaiTahu,43
Ngai_Tahu_Law,4
NgaiTamanuhiri,83
NgaiWill,2
NgaMataapunaOra,38
Ngapuhi_Radio,237
Ngapuhi_TV,273
NgaretaGabel,5
Nga_T_A,1
NgatiBird,76
NgatiRuapani,4
Ngawaiata47,2
NgawiniS,2
nicholasmaaka,17
nic_mccall,4
nicolaannesmith,22
niki_edmonds,9
nikora75,346
niwa_nz,1
NStevenson,4
NTPounamu,29
nzaahd,2
nzgovtech,3
NZHistory,3
NZMIS,7
NZTAeducation,40
NZwhero,24
OnieBoneDigital,3
orotau,6
_otewamarae,1
paatipeople,3
PaciFicEduCator,13
packer_deb,3
PaoraRatahi,72
papanahi,23
ParaniTeMoana,19
ParaoneG,17
PauletteTamati,79
paulr_navigator,9
peterjkeegan,26
phpnz,13
PiataAllen,67
piki_huia,21
pineaha,6
piri_rurawhe,2
PlunketNZ,13
PohoiraClay,16
PollywollyMagic,5
Pook_Y2K,24
possiblyb9,1
pounamusmum,88
PoutamaTrust,23
PouTepou,15
PPTAWeb,31
priestley_lynda,7
princess_hine,22
PrincipalShane,1
PukanaMaiOWhatu,522
Pukeko02,20
pukekogirl,26
PukengaC,1
putahifestival,2
RacquelMcKenzie,2
RaiseUpNZ,1
Ramonah_Latu,8
rangitewhiu,9
Rangitih1,75
RanieraHarrison,22
ranui_organics,54
Rarerecordings_,400
RatuTibble,561
raukawa1,12
raukawa8,22
RaWinikerei,24
RawiriB,134
raymurakami,40
RecEduc,43
rekadesmi1,1
RenoHemi,8
reomahi,250
reomaori,1714
RepoConsultancy,14
RevChrisHuriwai,319
revhirini,106
RevTamihere,221
RFiliata,78
rg_jones,18
RiaHallNZ,500
RikiLee_P,38
rikki_owen,36
ririahotere,1
riripetit,20
robclarke,4
RobertaKP21,53
RobRuha,84
robynnuthall,3
ROC_party,3
RohiRangitauira,23
RoihanaNuri,66
RoihanaNuri,99
RosinaTaniwha,29
RottenCorn,117
RReiri,15
Rubie_cookie,11
ruditee,296
rukuroa,93
Russell_Lee_,7
SallyHart72,21
sammasamadhi,152
SCampbellMedia,2
schoolkitnz,24
SculptureP,4
seahp,120
SFNewZealand,2
ShanVulu,23
SHaunui,33
shetfrog,10
SiskoBrown,150
SJpetley,3
SkuxxLmfao,1
smruru1,154
Str8tMaori,60
studentsnz,3
suicidenz,16
SWhiu,2
taamstere,494
TaheiSimpson,38
TahuPaki,975
taikirau242,7
TaitePitama,2
takaramaina,155
takohatia,37
TaliaellisonTe,1
TalisaKupenga,11
Tama_Koops,5
tamaticoffey,36
TamatiTiananga,22
Tanerau13,12
Tangihanga,29
tarerethatcher,12
TariaNgawhika,1
TarnzC,20
Taroaroa,76
tauhenare,333
Taupunakohe,83
TaurangaMBA,16
TauroaKaio,38
TautohetoheMTS,20
tautokai,173
tavvi2toes,21
TAWHI84,1
tbyrd9980,1
tcpit,1
te22012,49
TeachingConsult,53
TeAhurutanga,74
teakau2,2
te_aniwa,14
Te_Ara,134
TeArawaFM,290
TeAraWairua,1
tea_tut,2
TeEngaHarris,34
TeHiku,34
TeKaeaOfficial,1031
TeKaraka,278
TeKarereTVNZ,774
TeKeteAhumara,19
TeKupuOTeRa,45
temanawapou,49
TeManuAtaahua,10
TeManuKorihi,92
temihinga,3510
temihiroa_,263
Tem_Morrison,3
temokoroa,127
TeOraroa,2
tepakehaiti,39
Te_Papa,11
terangihaeata1,3
TeRangiparuhi,50
Terewai17,16
TeriakiTamasese,22
Te_Rina20,4
TeRinaKowhai,3
TeRopuPounamu,23
tetekura,202
TeUruroaFlavell,167
TheBigHitNZ,9
thelittlepakeha,277
themikeking,41
ThomasDeanne,32
TiapanaICT,9
TiareTawera,135
Tiaretew,1
TiheiMauriora,41
Tiiwaha,72
TimGanderNZ,3
TimProvise,18
TinaMakereti,82
TinaWickliffe,102
tinopai,243
TipaJustin,35
tiwakawaka3,141
TogiLemanu,6
TokoroaThrive,7
Tonimoana,48
TRongomai,2
TrustReo,112
tstorer1,5
TTKTimes,6
Tuhoeetu,106
TuiKatene,1
tuilah1,1
tumaimagazine,4
TUMEKE_blog,12
TutuTaniwha,24
twoa,115
TWoA_IT,37
UmuroaTe,47
Ungr8ful_Savage,7
upokopakaru,20
uriohau,167
urupix,1
VicTamati,2
virtuallykaren,55
VKopa,3
VLNPrimary,13
vrcor,2
waateanews,883
Waiariki_Cowboy,13
waldok,7
waotapu,6
wawaro81,81
Wayne_Abraham,675
wepihatekanawa,4
wetinipaul,30
whaakimai,1
WhaeaDanie,9
Whaea_Kaa,4
whaeavee,69
whaitewiata,65
whakaue2,24
Whakawatea282,6
WhanauOra,8
wharehoka,42
WhatiTeWake01,607
whatumoana,3
WhenHakaHappens,21
WhenuaLawyer,41
whetu_teua,18
willuxflavell,159
WMakere,1
WNGAHUIA,99
wwilliamsnz,3
WWteambuilding,21
WyntreKomene,2
xiao_min2,5
yorkstblues,8
youfreakinpanda,120
yozaah,9
ytahana,46
zeborah,52
